price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqm_living,sqm_lot,sqm_basement,sqm_living15,sqm_price_per_lot,sqm_price_per_living,sqm_lot15,sqm_above
221900.0,3,1.0,1.0,0,0,3,7,1955,0,98178,47.5112,-122.257,109.62554,524.9019499999999,0.0,124.49002,3.648703663716814,17.470487881355933,60816.12003918065,12701.41976039525
538000.0,3,2.25,2.0,0,0,3,7,1951,1991,98125,47.721,-122.319,238.76071,672.803526,37.1612,157.00607,6.901658933996133,19.448176653696496,82225.54707598248,23357.69566106584
180000.0,2,1.0,1.0,0,0,3,6,1933,0,98028,47.7379,-122.233,71.53531,929.03,0.0,252.69616,1.672254,21.717584415584415,86778.68314263264,8288.21458941046
604000.0,4,3.0,1.0,0,0,5,7,1965,0,98136,47.5208,-122.393,182.08988,464.515,84.54173,126.34808,11.2226824,28.629291836734694,53819.57525591208,11302.110803741536
510000.0,3,2.0,1.0,0,0,3,8,1987,0,98074,47.6168,-122.045,156.07704,750.65624,0.0,167.2254,5.86392698019802,28.20269642857143,80761.65462902166,18083.37728598646
1225000.0,4,4.5,1.0,0,0,3,11,2001,0,98053,47.6561,-122.005,503.53426,9469.60279,142.14159,442.21828,1.116513048170313,20.997449261992617,1097165.8611670237,41871.6295490996
257500.0,3,2.25,2.0,0,0,3,7,1995,0,98003,47.3097,-122.327,159.328645,633.505557,0.0,207.916914,3.5082156474556387,13.948992711370261,73399.13673401289,18460.114312777845
291850.0,3,1.5,1.0,0,0,3,7,1963,0,98198,47.4095,-122.315,98.47718,902.181033,0.0,153.28995,2.7920647255689426,25.579000518867925,104528.37906203244,11409.74995425336
229500.0,3,1.0,1.0,0,0,3,7,1960,0,98146,47.5123,-122.337,165.36734,693.98541,67.81919,165.36734,2.8542487951807227,11.978223876404495,87327.64281024295,11302.110803741536
323000.0,3,2.5,2.0,0,0,3,7,2003,0,98038,47.3684,-122.031,175.58667,609.44368,0.0,222.03817,4.574339786585366,15.877073544973547,81482.83693745089,20343.799446734767
662500.0,3,2.5,1.0,0,0,3,8,1965,0,98007,47.6007,-122.145,330.73468,910.0777879999999,157.9351,205.31563,6.282996886484279,17.288830758426965,96067.94183180307,20020.881995199295
468000.0,2,1.0,1.0,0,0,4,7,1942,0,98115,47.69,-122.292,107.76748,557.418,27.8709,123.56099,7.246434,37.48155517241379,64583.4903070945,9256.966944016878
310000.0,3,1.0,1.5,0,0,4,7,1927,0,98028,47.7558,-122.229,132.85129,1848.862603,0.0,165.36734,1.4471599417114718,20.139811188811187,136669.42940486313,15392.398523190855
400000.0,3,1.75,1.0,0,0,4,7,1977,0,98074,47.6127,-122.045,127.27711,899.30104,0.0,127.27711,3.8389669421487604,27.124963503649635,109878.0448424701,14746.56362011991
530000.0,5,2.0,1.5,0,0,3,7,1900,0,98107,47.67,-122.394,168.15443,450.57955,0.0,126.34808,10.152286597938144,27.2036408839779,52204.98799823472,19482.686242640175
650000.0,4,3.0,2.0,0,3,3,9,1979,0,98126,47.5714,-122.375,274.06385,464.515,90.11591,198.81242,12.07739,20.47015254237288,43055.66020472966,21312.551801341186
395000.0,3,2.0,2.0,0,0,3,7,1994,0,98019,47.7277,-121.962,175.58667,1304.35812,0.0,175.58667,2.6137240028490027,19.41623544973545,150888.5611874751,20343.799446734767
485000.0,4,1.0,1.5,0,0,4,7,1916,0,98103,47.6648,-122.343,148.6448,399.4829,0.0,149.57383,10.478594186046513,28.161221875,46284.83472008439,17222.264081891866
